dataset;measure;classification-measure;test-type;value
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;precision;cross-validation;0.33333333333333337
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;recall;cross-validation;0.26666666666666666
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;f-measure;cross-validation;0.13714285714285715
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;specificity;cross-validation;0.6914285714285715
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;fall-out;cross-validation;0.30857142857142855
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;false-discovery-rate;cross-validation;0.6666666666666667
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;accuracy;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;accuracy;cross-validation;0.10571428571428572
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;specificity;holdout;0.6
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;fall-out;holdout;0.4
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;false-discovery-rate;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;precision;cross-validation;0.07333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;recall;cross-validation;0.26666666666666666
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;f-measure;cross-validation;0.10714285714285714
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;specificity;cross-validation;0.6057142857142856
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;fall-out;cross-validation;0.39428571428571424
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);SWALEClassifierTest;false-discovery-rate;cross-validation;0.9266666666666667
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;accuracy;holdout;0.16666666666666666
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;accuracy;cross-validation;0.15428571428571428
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;specificity;holdout;0.7
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;fall-out;holdout;0.30000000000000004
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;false-discovery-rate;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;precision;cross-validation;0.8
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;recall;cross-validation;0.1
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;f-measure;cross-validation;0.13333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;specificity;cross-validation;0.9199999999999999
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;fall-out;cross-validation;0.08
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);LiuSchneiderClassifierTest;false-discovery-rate;cross-validation;0.2
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;accuracy;holdout;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;accuracy;cross-validation;0.12571428571428572
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;specificity;holdout;0.9
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;fall-out;holdout;0.09999999999999998
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;false-discovery-rate;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;precision;cross-validation;0.05
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;recall;cross-validation;0.06666666666666667
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;f-measure;cross-validation;0.05714285714285715
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;specificity;cross-validation;0.5476190476190477
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;fall-out;cross-validation;0.4523809523809524
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveEllipsesClassifierTest;false-discovery-rate;cross-validation;0.95
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;accuracy;holdout;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;accuracy;cross-validation;0.15428571428571428
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;specificity;holdout;0.9
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;fall-out;holdout;0.09999999999999998
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;false-discovery-rate;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;precision;cross-validation;0.05
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;recall;cross-validation;0.06666666666666667
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;f-measure;cross-validation;0.05714285714285715
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;specificity;cross-validation;0.5476190476190477
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;fall-out;cross-validation;0.4523809523809524
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMovePointsClassifierTest;false-discovery-rate;cross-validation;0.95
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;accuracy;holdout;0.25
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;accuracy;cross-validation;0.18285714285714283
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;precision;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;specificity;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;fall-out;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;precision;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;recall;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;f-measure;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;specificity;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);DTWaClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;accuracy;cross-validation;0.9333333333333333
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;precision;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;f-measure;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;specificity;cross-validation;0.6
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [4, 6]);MSMMoveDistanceClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;accuracy;holdout;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;accuracy;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;precision;holdout;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;recall;holdout;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;f-measure;holdout;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;specificity;holdout;0.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;fall-out;holdout;0.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;precision;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;recall;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;f-measure;cross-validation;1.0
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;specificity;cross-validation;0.6
Pisa (Users [4, 6]);MSMMoveAngleClassifierTest;fall-out;cross-validation;0.0
